Date,MMM,AOS,ABT,ABBV,ABMD,ACN,ATVI,ADM,ADBE,AAP,AMD
2022-01-03,168.2821044921875,81.62281036376953,136.12899780273438,129.11441040039062,366.2900085449219,400.0928649902344,67.02161407470703,66.26271057128906,564.3699951171875,228.5513916015625,150.24000549316406
2022-01-04,170.6396026611328,82.98041534423828,132.92747497558594,128.86654663085938,361.5899963378906,397.2337341308594,66.80291748046875,67.49250030517578,554.0,228.81202697753906,144.4199981689453
2022-01-05,169.93899536132812,81.59349822998047,132.33026123046875,129.54345703125,338.20001220703125,390.2381896972656,65.8982925415039,66.96544647216797,514.4299926757812,228.23284912109375,136.14999389648438
2022-01-06,168.52825927734375,82.14044189453125,132.31065368652344,128.9332733154297,336.44000244140625,371.3934020996094,63.44289016723633,67.56082153320312,514.1199951171875,233.25216674804688,136.22999572753906
2022-01-07,170.37449645996094,81.21259307861328,132.72186279296875,128.59959411621094,319.2799987792969,364.2701416015625,63.661590576171875,68.13667297363281,510.70001220703125,229.8158721923828,132.0
2022-01-10,167.96966552734375,80.95864868164062,132.4281463623047,130.0392608642578,306.79998779296875,366.4808044433594,62.73708724975586,68.2538070678711,525.8300170898438,225.99351501464844,132.0
2022-01-11,169.4561309814453,81.7497787475586,132.8589324951172,130.5922393798828,319.1000061035156,368.55389404296875,65.46089172363281,68.7906265258789,529.8900146484375,223.94715881347656,137.30999755859375
2022-01-12,169.87271118164062,82.02325439453125,130.92037963867188,130.89735412597656,315.42999267578125,371.55841064453125,64.42704010009766,68.73207092285156,532.3699951171875,229.27532958984375,137.47000122070312
2022-01-13,171.3875732421875,81.00748443603516,127.38333892822266,128.6239013671875,306.7900085449219,355.9745788574219,63.79082107543945,69.2005615234375,516.9000244140625,232.9336395263672,132.74000549316406
2022-01-14,169.22889709472656,78.69270324707031,125.91938018798828,130.88771057128906,301.2200012207031,348.0841979980469,65.00360870361328,69.83497619628906,520.5999755859375,231.27342224121094,136.8800048828125
2022-01-18,168.7933807373047,78.78060913085938,124.357177734375,131.7643585205078,292.3800048828125,343.08001708984375,81.8236312866211,69.56167602539062,513.3400268554688,229.6421356201172,131.92999267578125
2022-01-19,168.9827117919922,77.69647979736328,123.84626770019531,130.25193786621094,302.0199890136719,338.6077880859375,81.66458129882812,69.29815673828125,516.5800170898438,226.19618225097656,128.27000427246094
2022-01-20,164.33399963378906,76.38768768310547,122.52969360351562,128.15185546875,302.75,337.573486328125,81.27688598632812,67.23873901367188,510.8500061035156,221.3603057861328,121.88999938964844
2022-01-21,163.46295166015625,75.03008270263672,123.63011932373047,127.1403579711914,304.57000732421875,330.618896484375,80.86930084228516,67.28752899169922,499.9100036621094,218.29080200195312,118.80999755859375
2022-01-24,163.60498046875,76.94441223144531,121.6552505493164,127.31376647949219,311.94000244140625,333.9385681152344,79.4974594116211,66.9459228515625,519.6599731445312,224.71937561035156,116.52999877929688
2022-01-25,164.50442504882812,73.64317321777344,121.11486053466797,128.20965576171875,296.8399963378906,329.9490661621094,78.6524887084961,66.731201171875,502.7200012207031,222.18075561523438,111.12999725341797
2022-01-26,160.29119873046875,72.97901153564453,117.9708251953125,129.307861328125,297.1400146484375,324.96466064453125,78.31449127197266,70.53771209716797,500.80999755859375,217.29660034179688,110.70999908447266
2022-01-27,161.10546875,74.08267974853516,118.3343505859375,130.9840545654297,277.29998779296875,328.38275146484375,78.43378448486328,72.42144012451172,493.04998779296875,217.28697204589844,102.5999984741211
2022-01-28,154.421142578125,74.01405334472656,123.15850830078125,132.862548828125,277.25,337.73114013671875,78.67236328125,74.10022735595703,518.1599731445312,220.28887939453125,105.23999786376953
2022-01-31,157.1857452392578,74.91595458984375,125.23162078857422,131.87033081054688,295.8699951171875,348.3008728027344,78.54313659667969,73.20227813720703,534.2999877929688,223.46453857421875,114.25
2022-02-01,158.52073669433594,74.08267974853516,124.97616577148438,131.97628784179688,301.3500061035156,348.143310546875,78.59283447265625,73.71957397460938,535.97998046875,226.6402130126953,116.77999877929688
2022-02-02,157.7917022705078,73.71995544433594,127.7665023803711,133.53688049316406,307.9599914550781,354.10296630859375,78.7817153930664,74.85177612304688,533.0900268554688,228.45486450195312,122.76000213623047
2022-02-03,155.64248657226562,72.63180541992188,127.83529663085938,135.5695037841797,290.5199890136719,340.3907775878906,78.48348236083984,73.85621643066406,510.8299865722656,224.41049194335938,120.08000183105469
