Date,Open,High,Low,Close,AdjClose,Volume
2023-03,3963.34,4078.49,3808.86,3948.72,3948.72,87661460000
2023-02,4070.07,4195.44,3943.08,3970.15,3970.15,80392280000
2023-01,3853.29,4094.21,3794.33,4076.6,4076.6,80763810000
2022-12,4087.14,4100.96,3764.49,3839.5,3839.5,85249330000
2022-11,3901.79,4080.11,3698.15,4080.11,4080.11,92671910000
2022-10,3609.78,3905.42,3491.58,3871.98,3871.98,95823760000
2022-09,3936.73,4119.28,3584.13,3585.62,3585.62,94241020000
2022-08,4112.38,4325.28,3954.53,3955,3955,92252350000
2022-07,3781,4140.15,3721.56,4130.29,4130.29,81688320000
2022-06,4149.78,4177.51,3636.87,3785.38,3785.38,1.06E+11
2022-05,4130.61,4307.66,3810.32,4132.15,4132.15,1.09E+11
2022-04,4540.32,4593.45,4124.28,4131.93,4131.93,90367840000
2022-03,4363.14,4637.3,4157.87,4530.41,4530.41,1.24E+11
2022-02,4519.57,4595.31,4114.65,4373.94,4373.94,92667710000
2022-01,4778.14,4818.62,4222.62,4515.55,4515.55,95562890000
2021-12,4602.82,4808.93,4495.12,4766.18,4766.18,92750180000
2021-11,4610.62,4743.83,4560,4567,4567,88268840000
2021-10,4317.16,4608.08,4278.94,4605.38,4605.38,80253600000
2021-09,4528.8,4545.85,4305.91,4307.54,4307.54,85528860000
2021-08,4406.86,4537.36,4367.73,4522.68,4522.68,80500760000
2021-07,4300.73,4429.97,4233.13,4395.26,4395.26,84255620000
2021-06,4216.52,4302.43,4164.4,4297.5,4297.5,1.03E+11
2021-05,4191.98,4238.04,4056.88,4204.11,4204.11,88321860000
2021-04,3992.78,4218.78,3992.78,4181.17,4181.17,83124090000
2021-03,3842.51,3994.41,3723.34,3972.89,3972.89,1.22E+11
2021-02,3731.17,3950.43,3725.62,3811.15,3811.15,99082320000
2021-01,3764.61,3870.9,3662.71,3714.24,3714.24,1.06E+11
2020-12,3645.87,3760.2,3633.4,3756.07,3756.07,96375680000
2020-11,3296.2,3645.99,3279.74,3621.63,3621.63,1.01E+11
2020-10,3385.87,3549.85,3233.94,3269.96,3269.96,89938980000
2020-09,3507.44,3588.11,3209.45,3363,3363,92310780000
2020-08,3288.26,3514.77,3284.53,3500.31,3500.31,82466520000
2020-07,3105.92,3279.99,3101.17,3271.12,3271.12,96928130000
2020-06,3038.78,3233.13,2965.66,3100.29,3100.29,1.31E+11
2020-05,2869.09,3068.67,2766.64,3044.31,3044.31,1.07E+11
2020-04,2498.08,2954.86,2447.49,2912.43,2912.43,1.24E+11
2020-03,2974.28,3136.72,2191.86,2584.59,2584.59,1.62E+11
2020-02,3235.66,3393.52,2855.84,2954.22,2954.22,84436590000
2020-01,3244.67,3337.77,3214.64,3225.52,3225.52,77287980000
2019-12,3143.85,3247.93,3070.33,3230.78,3230.78,72325540000
2019-11,3050.72,3154.26,3050.72,3140.98,3140.98,72410620000
2019-10,2983.69,3050.1,2855.94,3037.56,3037.56,77720640000
2019-09,2909.01,3021.99,2891.85,2976.74,2976.74,74178980000
2019-08,2980.32,3013.59,2822.12,2926.46,2926.46,80269220000
2019-07,2971.41,3027.98,2952.22,2980.38,2980.38,70599470000
2019-06,2751.53,2964.15,2728.81,2941.76,2941.76,71250630000
2019-05,2952.33,2954.13,2750.52,2752.06,2752.06,77250740000
2019-04,2848.63,2949.52,2848.63,2945.83,2945.83,70090370000
2019-03,2798.22,2860.31,2722.27,2834.4,2834.4,79159660000
2019-02,2702.32,2813.49,2681.83,2784.49,2784.49,70638770000
2019-01,2476.96,2708.95,2443.96,2704.1,2704.1,80859870000
2018-12,2790.5,2800.18,2346.58,2506.85,2506.85,84162180000
2018-11,2717.58,2815.15,2631.09,2760.17,2760.17,80620020000
2018-10,2926.29,2939.86,2603.54,2711.74,2711.74,91930980000
2018-09,2896.96,2940.91,2864.12,2913.98,2913.98,63031510000
2018-08,2821.17,2916.5,2796.34,2901.52,2901.52,69523070000
2018-07,2704.95,2848.03,2698.95,2816.29,2816.29,64898300000
2018-06,2718.7,2791.47,2691.99,2718.37,2718.37,77891360000
2018-05,2642.96,2742.24,2594.62,2705.27,2705.27,76011820000
2018-04,2633.45,2717.49,2553.8,2648.05,2648.05,70194700000
2018-03,2715.22,2801.9,2585.89,2640.87,2640.87,76803890000
2018-02,2816.45,2835.96,2532.69,2713.83,2713.83,79933970000
2018-01,2683.73,2872.87,2682.36,2823.81,2823.81,77318690000
2017-12,2645.1,2694.97,2605.52,2673.61,2673.61,65531700000
2017-11,2583.21,2657.74,2557.45,2647.58,2647.58,73416960000
2017-10,2521.2,2582.98,2520.4,2575.26,2575.26,71088550000
2017-09,2474.42,2519.44,2446.55,2519.36,2519.36,66624120000
2017-08,2477.1,2490.87,2417.35,2471.65,2471.65,70784900000
2017-07,2431.39,2484.04,2407.7,2470.3,2470.3,63348090000
2017-06,2415.65,2453.82,2405.7,2423.41,2423.41,81078810000
2017-05,2388.5,2418.71,2352.72,2411.8,2411.8,79719460000
2017-04,2362.34,2398.16,2328.95,2384.2,2384.2,65369860000
2017-03,2380.13,2400.98,2322.25,2362.72,2362.72,81664010000
2017-02,2285.59,2371.54,2271.65,2363.64,2363.64,69260940000
2017-01,2251.57,2300.99,2245.13,2278.87,2278.87,70576420000
2016-12,2200.17,2277.53,2187.44,2238.83,2238.83,75344550000
2016-11,2128.68,2214.1,2083.79,2198.81,2198.81,88445380000
2016-10,2164.33,2169.6,2114.72,2126.15,2126.15,72915530000
2016-09,2171.33,2187.87,2119.12,2168.27,2168.27,77023620000
2016-08,2173.15,2193.81,2147.58,2170.95,2170.95,75610310000
2016-07,2099.34,2177.09,2074.02,2173.6,2173.6,69530250000
2016-06,2093.94,2120.55,1991.68,2098.86,2098.86,86852700000
2016-05,2067.17,2103.48,2025.91,2096.95,2096.95,78883600000
2016-04,2056.62,2111.05,2033.8,2065.3,2065.3,81124990000
2016-03,1937.09,2072.21,1937.09,2059.74,2059.74,92639420000
2016-02,1936.94,1962.96,1810.1,1932.23,1932.23,93049560000
2016-01,2038.2,2038.2,1812.29,1940.24,1940.24,92409770000
2015-12,2082.93,2104.27,1993.26,2043.94,2043.94,83649260000
2015-11,2080.76,2116.48,2019.39,2080.41,2080.41,75943590000
2015-10,1919.65,2094.32,1893.7,2079.36,2079.36,85844900000
2015-09,1970.09,2020.86,1871.91,1920.03,1920.03,79989370000
2015-08,2104.49,2112.66,1867.01,1972.18,1972.18,84626790000
2015-07,2067,2132.82,2044.02,2103.84,2103.84,77920590000
2015-06,2108.64,2129.87,2056.32,2063.11,2063.11,73213980000
2015-05,2087.38,2134.72,2067.93,2107.39,2107.39,65187730000
